2017-09-10	2017-09-11
v5me2HD8xzI	Raila Odinga should have accepted and moved on after the landslide defeat - Uhuru Kenyatta	1642
yJwcK4n2oI0	We will win by a landslide, Deputy President William Ruto re-affirms	538
PgO7S8oXrwY	Rainfall expected to increase; landslide on Dhoori Mountain	200
lOs3bjyBoRQ	LANDSLIDE VS DARKSIDE!! CALICOE CHOKED!!! WAIT WHATTTT!!	132
XXVL5n2TZUE	Leaders divided on land for Bududa landslide survivors	410
fOIqswdpaYA	Landslide encore 9/9/17	36
EQubsG8T5Do	Stevie Nicks ends Ravinia with Landslide	101
BAWvW0a8g3Q	Glee - Sexy : Landslide	194
bT6zOX62mLM	Landslide @ Ravinia	60
uRyGWCSp3VA	Worst landslide india	6
